user_id,session_start_dttm
95739,2024-01-01 00:19:48
49362,2024-01-01 00:32:59
16377,2024-01-01 00:40:00
64361,2024-01-01 00:55:24
65977,2024-01-01 01:01:21
87899,2024-01-01 01:13:48
9025,2024-01-01 01:20:42
81925,2024-01-01 01:32:42
97871,2024-01-01 01:57:24
87064,2024-01-01 02:07:11
15407,2024-01-01 03:08:14
86913,2024-01-01 03:17:11
24818,2024-01-01 03:26:29
97657,2024-01-01 04:22:33
70820,2024-01-01 04:24:06
61718,2024-01-01 04:25:34
21384,2024-01-01 04:43:55
16802,2024-01-01 05:34:57
82175,2024-01-01 05:38:09
88540,2024-01-01 06:19:11
57158,2024-01-01 06:36:53
53875,2024-01-01 06:38:05
47552,2024-01-01 06:43:09
89467,2024-01-01 06:57:51
88308,2024-01-01 07:09:39
37051,2024-01-01 07:12:46
15906,2024-01-01 07:52:47
75970,2024-01-01 08:01:14
20577,2024-01-01 08:28:34
25944,2024-01-01 08:40:51
1995,2024-01-01 08:41:54
27503,2024-01-01 09:16:12
17097,2024-01-01 09:46:34
54166,2024-01-01 09:49:41
6501,2024-01-01 10:20:16
17663,2024-01-01 10:28:25
53761,2024-01-01 11:17:54
24289,2024-01-01 11:28:45
87529,2024-01-01 11:33:27
21698,2024-01-01 11:35:33
12529,2024-01-01 12:04:22
73615,2024-01-01 12:05:28
19012,2024-01-01 12:19:53
58547,2024-01-01 12:23:57
18427,2024-01-01 12:39:56
59627,2024-01-01 12:40:48
36835,2024-01-01 12:47:19
51418,2024-01-01 13:15:14
34671,2024-01-01 13:16:16
83,2024-01-01 13:16:55
97581,2024-01-01 13:20:06
20495,2024-01-01 13:21:33
63707,2024-01-01 13:25:23
81447,2024-01-01 13:40:51
35486,2024-01-01 13:47:16
71962,2024-01-01 13:50:31
49362,2024-01-01 14:03:16
67810,2024-01-01 14:25:56
88997,2024-01-01 14:41:13
17723,2024-01-01 14:51:57
21203,2024-01-01 15:07:19
89948,2024-01-01 15:12:55
1010,2024-01-01 15:22:03
66756,2024-01-01 15:36:38
64011,2024-01-01 15:39:18
26911,2024-01-01 15:51:33
73073,2024-01-01 16:00:25
25586,2024-01-01 16:08:37
28887,2024-01-01 16:15:53
6659,2024-01-01 16:28:27
10169,2024-01-01 16:29:10
35366,2024-01-01 16:36:25
21761,2024-01-01 16:37:09
40529,2024-01-01 16:42:14
64775,2024-01-01 16:52:04
44634,2024-01-01 17:11:35
72204,2024-01-01 17:30:09
83157,2024-01-01 17:37:58
57824,2024-01-01 17:56:11
91632,2024-01-01 17:56:39
67627,2024-01-01 17:59:29
66159,2024-01-01 18:01:49
87072,2024-01-01 18:14:52
51342,2024-01-01 18:28:33
45817,2024-01-01 18:30:52
37051,2024-01-01 18:32:19
89257,2024-01-01 18:33:54
71811,2024-01-01 18:38:07
94797,2024-01-01 19:47:53
65276,2024-01-01 19:55:58
32375,2024-01-01 19:59:06
27605,2024-01-01 20:37:04
18290,2024-01-01 20:37:40
1963,2024-01-01 20:39:48
56238,2024-01-01 20:43:37
31454,2024-01-01 20:47:05
51405,2024-01-01 21:02:17
40567,2024-01-01 21:04:37
88066,2024-01-01 21:16:51
97436,2024-01-01 21:18:52
33608,2024-01-01 21:26:32
85970,2024-01-01 21:41:48
96797,2024-01-01 21:56:56
44303,2024-01-01 21:57:49
29905,2024-01-01 22:08:40
92559,2024-01-01 22:35:10
73530,2024-01-01 22:41:23
46767,2024-01-01 22:54:49
84100,2024-01-01 22:57:04
81579,2024-01-01 23:00:44
72842,2024-01-01 23:17:45
72842,2024-01-01 23:19:48
28061,2024-01-01 23:28:37
34671,2024-01-01 23:31:33
31647,2024-01-01 23:38:25
36558,2024-01-02 00:46:07
4783,2024-01-02 01:06:09
42377,2024-01-02 01:09:39
940,2024-01-02 01:33:43
76358,2024-01-02 02:31:16
85420,2024-01-02 02:36:22
9286,2024-01-02 03:03:05
20495,2024-01-02 03:04:12
57094,2024-01-02 03:22:42
85970,2024-01-02 03:38:50
91538,2024-01-02 04:11:58
44268,2024-01-02 04:18:11
13464,2024-01-02 04:43:09
66056,2024-01-02 04:51:22
53473,2024-01-02 05:26:03
9922,2024-01-02 05:29:51
67627,2024-01-02 06:02:08
86021,2024-01-02 06:41:54
97939,2024-01-02 06:49:35
67308,2024-01-02 07:09:05
28778,2024-01-02 07:51:08
46381,2024-01-02 07:55:30
40567,2024-01-02 08:05:37
72842,2024-01-02 08:23:05
13931,2024-01-02 08:23:51
17015,2024-01-02 08:46:03
65350,2024-01-02 08:47:14
37812,2024-01-02 08:59:30
59342,2024-01-02 09:08:03
37403,2024-01-02 09:18:59
67457,2024-01-02 09:19:48
93640,2024-01-02 09:29:20
24818,2024-01-02 09:34:26
17892,2024-01-02 09:38:27
29184,2024-01-02 09:39:01
99755,2024-01-02 09:44:48
49297,2024-01-02 10:03:32
15110,2024-01-02 10:12:33
44303,2024-01-02 10:13:42
38024,2024-01-02 10:33:34
38747,2024-01-02 10:47:47
62360,2024-01-02 10:59:19
99795,2024-01-02 11:22:03
81829,2024-01-02 11:28:50
10948,2024-01-02 11:33:17
49070,2024-01-02 11:37:32
65514,2024-01-02 11:59:37
48236,2024-01-02 12:01:23
5473,2024-01-02 12:02:46
