user_id,session_start_dttm,desktop_flag,session_duration_min,purchase_flag,purchase_amount_rub
65376,2024-10-01 00:41:01,0,5,0,0
48608,2024-10-01 00:57:09,0,2,0,0
47775,2024-10-01 01:11:10,0,2,1,256
36616,2024-10-01 01:13:17,0,5,0,0
42241,2024-10-01 01:16:51,1,4,0,0
36191,2024-10-01 01:42:20,1,4,1,239
31912,2024-10-01 02:12:09,0,11,1,311
64253,2024-10-01 02:13:33,1,4,1,272
72345,2024-10-01 02:15:15,1,8,0,0
74963,2024-10-01 02:18:29,0,10,0,0
10395,2024-10-01 02:24:51,0,1,0,0
9557,2024-10-01 02:30:39,0,6,0,0
12115,2024-10-01 02:38:36,1,9,0,0
52632,2024-10-01 02:43:53,1,4,0,0
26989,2024-10-01 02:46:09,0,3,0,0
10079,2024-10-01 02:47:50,0,8,0,0
21019,2024-10-01 03:05:49,1,4,0,0
80859,2024-10-01 03:47:38,0,7,1,415
24422,2024-10-01 03:48:02,0,2,0,0
38971,2024-10-01 03:50:23,0,7,1,242
50177,2024-10-01 03:59:50,0,4,0,0
65362,2024-10-01 05:05:39,1,4,0,0
47165,2024-10-01 05:23:16,1,6,0,0
41926,2024-10-01 05:47:32,0,8,0,0
13913,2024-10-01 07:00:32,0,4,0,0
44709,2024-10-01 07:03:33,1,4,0,0
66262,2024-10-01 07:09:23,1,5,0,0
97240,2024-10-01 07:36:49,0,5,0,0
6167,2024-10-01 07:37:09,1,10,0,0
86271,2024-10-01 08:26:43,0,2,0,0
36959,2024-10-01 08:44:23,0,9,1,266
42423,2024-10-01 08:53:43,0,6,0,0
93928,2024-10-01 09:08:48,0,4,0,0
11427,2024-10-01 09:09:14,0,1,0,0
26165,2024-10-01 09:10:40,1,8,0,0
21924,2024-10-01 09:17:32,1,4,1,806
23304,2024-10-01 09:19:11,0,4,0,0
75781,2024-10-01 09:21:45,1,10,0,0
9056,2024-10-01 09:26:51,0,6,1,552
23806,2024-10-01 09:27:23,0,4,1,329
27984,2024-10-01 09:31:28,0,7,0,0
23339,2024-10-01 10:01:23,0,11,1,281
79748,2024-10-01 10:02:01,1,7,0,0
92790,2024-10-01 10:05:46,0,0,0,0
4990,2024-10-01 10:09:20,0,8,0,0
